Song_Name,Artist,Duration,Duration_Seconds,Genres,Genre
Order,Heaven Pierce Her,7:01,421,Industrial Metal / Breakcore / Game OST,Other
Apologize,OneRepublic,3:30,210,Pop,Pop
hope ur ok,Olivia Rodrigo,3:29,209,Indie Pop,Indie
Time Machine,"MJ Apanay, Aren Park",3:45,225,R&B / Indie Pop,R&B
High Hopes,Panic! at the Disco,3:17,197,Electropop,Pop
My Eyes,Travis Scott,4:11,251,Alternative Hip-Hop,HipHop
IMY2,"Drake, Kid Cudi",4:12,252,Pop Rap / R&B,HipHop
Ioro,Dato Kenhiashvili,3:20,200,World / Folk (Traditional Georgian),Other
Such Perfect Peace,Jonathan Geer,1:19,79,"Modern Classical, Video Game OST",Classical
Siegfried,Frank Ocean,5:35,335,Alternative R&B,R&B
Prettiest To Me,HYBS,3:22,202,Pop,Pop
Yebba’s Heartbreak,"Drake, Yebba",2:13,133,R&B,R&B
"Ostarit ?u Ja, Ostarit ?eš Ti",Gazde,3:02,182,Folk-Rock,Other
Candle,Shinya Kiyozuka,5:20,320,Classical,Classical
Giant,Calvin Harris and Rag'n'Bone Man,3:29,209,Pop Rock,Rock
Strobe,deadmau5,10:36,636,EDM,Other
Love In The Dark,Adele,4:45,285,Pop,Pop
Deadman,Cai Xukun,3:55,235,"Rock, Pop",Rock
???????? (Egao no Omajinai),SHISHAMO,3:50,230,J-Pop,Pop
Flatline,Justin Bieber,3:39,219,"R&B, Soul",R&B
Tangled Up,Caro Emerald,4:01,241,Pop Ballad,Pop
Dao Xiang,Jay Chou,3:43,223,Mandopop / Pop,Pop
New Romantics,Taylor Swift,3:51,231,Pop,Pop
September,"Earth, Wind & Fire",3:35,215,R&B / Disco,R&B
The Way Things Go,beabadoobee ,3:08,188,Alternative/Indie,Other
Coffee,Sylvan Esso ,4:48,288,Indie Pop,Pop
LOVE ,Kendrick Lamar feat. Zachari,3:33,213,Pop rap/Alternative R&B,R&B
Remember Me,Gael García Bernal,1:09,69,Lullaby / Mariachi,Other
Billie Jean,Michael Jackson,4:54,294,Pop,Pop
Heartbreak Anniversary,Giveon,3:18,198,R&B,R&B
Boyfriend,Justin Bieber,2:51,171,Pop,Pop
Anti-Hero,Taylor Swift,3:20,200,Pop,Pop
Back Light,Stefanie Sun,4:53,293,Pop,Pop
Hotel California,Eagles,6:29,389,Rock,Rock
???? ??????? ????????,Gana,3:19,199,Buryat Folk-Pop,Other
Miss Korea,Lee Hyori,3:56,236,K-pop / Retro Pop,Pop
Snap Shoot,SEVENTEEN,2:55,175,K-pop,Pop
The Longest Goodbye,ROLE MODEL ft. Laufey,2:48,168,Indie Pop,Indie
Purpose,NEFFEX,3:47,227,Alternative / Indie,Other
Less Than Zero,The Weeknd,3:30,210,Indie,Indie
Let You Down,Dawid Podsiad?o,3:47,227,Alternative Pop,Pop
"Too Little, Too Late",Laufey,3:54,234,Indie,Indie
Yes or No,Jungkook,2:27,147,K-pop,Pop
Toronto 2014,Daniel Caesar,4:37,277,Alternative R&B / Neo-Soul,R&B
Cariño,The Marías,4:18,258,Indie Pop,Indie
The Less I Know the Better,Tame Impala,3:39,219,Alternative,Other
Perfect,Ed Sheeran,4:23,263,Pop,Pop
Try,Asher Monroe,3:37,217,Pop Ballad,Pop
7 Years,Lukas Graham,3:57,237,Pop,Pop
????????,????,4:27,267,J-Pop / Ballad,Pop
Iris,The Goo Goo Dolls,4:49,289,Alternative Rock,Rock
Punjaban,Sukha,2:58,178,Pop music,Pop
???????,Janaga,2:51,171,Lyrical Hip Hop,HipHop
Permission to Dance,BTS,3:07,187,K-pop,Pop
Message in a Bottle,The Police,4:50,290,Pop Rock,Rock
Always,Daniel Caesar,3:45,225,R&B / Neo-Soul,R&B
Pareshaniyan,Kashmir,3:57,237,Indie Rock,Indie
Arabesques No. 1,Claude Debussy,4:30,270,Classical,Classical
Rise Up,TheFatRat,2:50,170,EDM,Other
bye,Ariana Grande,2:44,164,R&B,R&B
Tetap Dalam Jiwa,Isyana Sarasvati,3:29,209,Indo Pop,Pop
Let It Happen,Tame Impala,7:46,466,Indie / Alternative,Other
The Climb,Miley Cyrus,3:54,234,Country Pop,Pop
Once Dance,Drake,2:53,173,R&B / Pop,R&B
Ain’t No Sunshine,Bill Withers,2:07,127,"Blues, R&B",R&B
APT,Rose and Bruno Mars,2:54,174,Pop,Pop
Wildflower,Billie Eilish,4:22,262,Pop / Alternative Pop,Pop
Arms Around You, Lil Pump and XXXTENTACION,3:16,196,"Pop, Hip-Hop",Pop
When the Music Fades,Jordan Praise,3:37,217,Gospel / Contemporary Christian,Other
Blinding Lights,The Weeknd,3:22,202,"Pop, R&B",Pop
Clair de Lune,Claude Debussy,5:27,327,Classical music,Classical
Fix You,Coldplay,4:55,295,Alternative Rock / Pop Rock,Rock
ETA,NewJeans,3:37,217,Pop,Pop
beaches,beabadoobee,3:51,231,Pop,Pop
Howl’s Moving Castle (Theme),Joe Hisaishi,5:09,309,Classical,Classical
Despacito,Luis Fonsi ft. Daddy Yankee,3:48,228,Latin Pop,Pop
Delete Ya,Djo,3:58,238,Alternative / Indie,Indie
Ice On My Body,Yung Bleu,3:37,217,Pop,Pop
Way Out The Hood,Lil Tjay,2:26,146,Pop / Rap,Rap
4U,Maanu,3:22,202,Pop / R&B,Pop
Chalo Door Kahin,Samar Jafri,2:38,158,"Pop, Indie",Pop
flower,Little Simz,3:45,225,British Hip-hop,HipHop
My Love Mine All Mine,Mitski,2:17,137,Indie rock,Indie
??,Sheena Ringo,4:41,281,Pop,Pop
11:11,Taeyeon,3:43,223,K-pop ballad,Pop
Mahika,Adie,3:21,201,Indie / Pop,Indie
Perfect,One Direction,3:50,230,Pop,Pop
Rylynn,Andy McKee,5:14,314,Folk / New Age,Other
Won’t Go Home Without You,Maroon 5,3:51,231,Soft Rock,Rock
God’s Plan,Drake,3:19,199,Rap,Other
Taohuayun,Datong Fang,4:24,264,Pop / R&B,Pop
The Girl That’s Underneath,Jake Miller,3:06,186,Pop / R&B,Pop
Blue,Yung Kai,3:34,214,R&B / Pop,R&B
Shadow,SEVENTEEN,3:32,212,K-pop,Pop
